course_number,title,tags,notes,is_corecs,is_advancedcs,is_secondary,is_programming1,is_programming2,is_formalreasoning,is_complimitations,is_algorithms,is_intermediatealgorithms,is_systems,is_computationandtheworld,is_ai,is_probability,is_linearalgebra,is_discretemath
CS2790r (formerly CS279R),Research Topics in Human-Computer Interaction,"corecs, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2810 (formerly CS281),Advanced Machine Learning,"corecs, computationandtheworld, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CS2821r (formerly CS282BR),Topics in Machine Learning: Interpretability and Explainability,"corecs, computationandtheworld, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CS2822r (formerly CS282R),Topics in Machine Learning,"corecs, computationandtheworld, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CS2823r,Advanced Topics in Modern Machine Learning,"corecs, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CS2824,Foundations of Reinforcement Learning,"corecs, formalreasoning, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CS2831 (formerly CS283),Computer Vision,"corecs, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2840,Computational Optimal Transport for Machine Learning,"corecs, computationandtheworld, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CS2860 (formerly CS286),"Multi-Robot Systems: Control, Communication, and Security","corecs, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2871 (formerly CS287),,"corecs, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2880 (formerly CS288),AI for Social Impact,"corecs, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2881r,Topics in Foundations of ML: AI Alignment and Safety,"corecs, computationandtheworld, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CS2890 (formerly CS289),Autonomous Robot Systems,"corecs, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2901 (formerly CS290),PhD Grad Cohort Research Seminar,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2990r (formerly CS299R),Special Topics in Computer Science,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS32,Computational Thinking and Problem Solving,"corecs, programming1, secondary",Mutually exclusive with CS50 and CSCI S-111,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS3330 (formerly CS333),Individual Risk,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS37 / ECON1071,Incentives in the Wild: from Tanking in Sports to Mining Cryptocurrencies,"corecs, computationandtheworld, secondary",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS50,Introduction to Computer Science,"corecs, programming1, secondary",Mutually exclusive with CS32 and CSCI S-111,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS51,Abstraction and Design in Computation,"corecs, programming2, secondary",,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS61,Systems Programming and Machine Organization,"corecs, programming2, systems, secondary",,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CS73,"Code, Data, and Art","corecs, secondary",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS79,Design of Useful and Usable Interactive Systems,"corecs, secondary",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS90NAR,Applied Ethical and Governance Challenges in AI,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS90NBR,Internet & Society: The Technologies and Politics of Control and CS,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS90NCR,Law for Algorithms: A Research and Discussion Forum,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS90NDR,Case Studies in Public and Private Policy Challenges of AI,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS91R,Supervised Reading and Research,corecs,"For MBB & Joint plans, counts as advancedcs",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS96,System Design Projects,"corecs, secondary",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ECON 2070,A Computer Science Toolbox for Modern Economic Theory,"corecs, formalreasoning, computationandtheworld, advancedcs",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ES143,Computer Vision,"corecs, computationandtheworld",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ES150,Probability with Engineering Applications,probability,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
